index,domainID,domainFamilyDescription
0,CoiledCoil,coil prediction
1,LowComplexity,low complexity prediction
2,mobidb-lite,disorder prediction
3,PF00001,7transmembranereceptor(rhodopsinfamily)
4,PF00002,7transmembranereceptor(Secretinfamily)
5,PF00003,7transmembranesweet-tastereceptorof3GCPR
6,PF00004,ATPasefamilyassociatedwithvariouscellularactivities(AAA)
7,PF00005,ABCtransporter
8,PF00006,ATPsynthasealpha/betafamily: nucleotide-bindingdomain
9,PF00007,Cystine-knotdomain
10,PF00008,EGF-likedomain
11,PF00010,Helix-loop-helixDNA-bindingdomain
12,PF00011,Hsp20/alphacrystallinfamily
13,PF00012,Hsp70protein
14,PF00013,KHdomain
15,PF00014,Kunitz/Bovinepancreatictrypsininhibitordomain
16,PF00016,Ribulosebisphosphatecarboxylaselargechain: catalyticdomain
17,PF00017,SH2domain
18,PF00018,SH3domain
19,PF00019,Transforminggrowthfactorbetalikedomain
20,PF00021,u-PAR/Ly-6domain
21,PF00022,Actin
22,PF00023,Ankyrinrepeat
23,PF00024,PANdomain
24,PF00025,ADP-ribosylationfactorfamily
25,PF00026,Eukaryoticaspartylprotease
26,PF00027,Cyclicnucleotide-bindingdomain
27,PF00028,Cadherindomain
28,PF00029,Connexin
29,PF00030,Beta/Gammacrystallin
30,PF00031,Cystatindomain
31,PF00032,Cytochromeb(C-terminal)/b6/petD
32,PF00033,Cytochromeb/b6/petB
33,PF00034,Cytochromec
34,PF00035,Double-strandedRNAbindingmotif
35,PF00036,EFhand
36,PF00037,4Fe-4Sbindingdomain
37,PF00038,Intermediatefilamentprotein
38,PF00039,FibronectintypeIdomain
39,PF00040,FibronectintypeIIdomain
40,PF00041,FibronectintypeIIIdomain
41,PF00042,Globin
42,PF00043,GlutathioneS-transferase: C-terminaldomain
43,PF00044,Glyceraldehyde3-phosphatedehydrogenase: NADbindingdomain
44,PF00045,Hemopexin
45,PF00046,Homeodomain
46,PF00047,Immunoglobulindomain
47,PF00050,Kazal-typeserineproteaseinhibitordomain
48,PF00051,Kringledomain
49,PF00053,LamininEGFdomain
50,PF00054,LamininGdomain
51,PF00055,LamininN-terminal(DomainVI)
52,PF00056,lactate/malatedehydrogenase: NADbindingdomain
53,PF00057,Low-densitylipoproteinreceptordomainclassA
54,PF00058,Low-densitylipoproteinreceptorrepeatclassB
55,PF00059,LectinC-typedomain
56,PF00060,Ligand-gatedionchannel
57,PF00062,C-typelysozyme/alpha-lactalbuminfamily
58,PF00063,Myosinhead(motordomain)
59,PF00066,LNRdomain
60,PF00067,CytochromeP450
61,PF00068,PhospholipaseA2
62,PF00069,Proteinkinasedomain
63,PF00071,Rasfamily
64,PF00072,Responseregulatorreceiverdomain
65,PF00074,Pancreaticribonuclease
66,PF00076,RNArecognitionmotif.(a.k.a.RRM: RBD: orRNPdomain)
67,PF00078,Reversetranscriptase(RNA-dependentDNApolymerase)
68,PF00079,Serpin(serineproteaseinhibitor)
69,PF00080,Copper/zincsuperoxidedismutase(SODC)
70,PF00081,Iron/manganesesuperoxidedismutases: alpha-hairpindomain
71,PF00082,Subtilasefamily
72,PF00083,Sugar(andother)transporter
73,PF00084,Sushirepeat(SCRrepeat)
74,PF00085,Thioredoxin
75,PF00086,Thyroglobulintype-1repeat
76,PF00088,Trefoil(P-type)domain
77,PF00089,Trypsin
78,PF00090,Thrombospondintype1domain
79,PF00091,Tubulin/FtsZfamily: GTPasedomain
80,PF00092,vonWillebrandfactortypeAdomain
81,PF00093,vonWillebrandfactortypeCdomain
82,PF00094,vonWillebrandfactortypeDdomain
83,PF00095,WAP-type(WheyAcidicProtein)'four-disulfidecore'
84,PF00097,Zincfinger: C3HC4type(RINGfinger)
85,PF00098,Zincknuckle
86,PF00100,Zonapellucida-likedomain
87,PF00102,Protein-tyrosinephosphatase
88,PF00103,Somatotropinhormonefamily
