proteinID,taxaID,cladeID,scientificName,genus,species
A0A014PQC0,568076,E,Metarhizium robertsii,Metarhizium,robertsii
A0A016S8J7,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016SK08,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016SLU4,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016SS41,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016T911,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016TEY5,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016TQ94,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016TTS1,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016U0V3,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016U557,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016U701,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016UJ17,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016USI4,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016V1B2,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016V7D3,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016VK28,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016W2S6,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016W9A4,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016WC87,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016WF52,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016WMQ5,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016WYY3,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A016WZR8,53326,E,Ancylostoma ceylanicum,Ancylostoma,ceylanicum
A0A022PT25,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022PTA6,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022PTS3,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022PUH6,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022Q1E9,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022QCU5,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022QDW2,4155,E,Erythranthe guttata,Erythranthe,guttata
A0A022QFT7,4155,E,Erythranthe guttata,Erythranthe,guttata
