proteinID,domainID,domainDescription,domainStart,domainEnd
A0A014PQC0,PF02800,Glyceraldehyde 3-phosphate dehydrogenase catalytic domain,157,314
A0A016S8J7,PF01650,Peptidase C13 legumain,40,94
A0A016S8J7,PF02931,Neurotransmitter-gated ion-channel ligand-binding domain,23,39
A0A016SK08,PF00078,Reverse transcriptase domain,10,99
A0A016SLU4,mobidb-lite,disorder_prediction,1,33
A0A016SS41,mobidb-lite,disorder_prediction,516,551
A0A016T911,mobidb-lite,disorder_prediction,903,938
A0A016TEY5,mobidb-lite,disorder_prediction,106,159
A0A016TQ94,mobidb-lite,disorder_prediction,102,121
A0A016TTS1,PF05001,RNA polymerase II heptapeptide repeat eukaryotic,1634,1642
A0A016U0V3,PF09133,SANT associated,374,466
A0A016U557,PF00435,Spectrin repeat,710,811
A0A016U701,PF01400,Peptidase M12A,1,83
A0A016UJ17,PF13639,Zinc finger RING-type,308,350
A0A016USI4,PF00400,WD40 repeat,310,347
A0A016V1B2,mobidb-lite,disorder_prediction,1,46
A0A016V7D3,PF00178,Ets domain,442,525
A0A016VK28,PF02204,VPS9 domain,278,378
A0A016W2S6,mobidb-lite,disorder_prediction,124,145
A0A016W9A4,PF04137,Endoplasmic reticulum oxidoreductin 1,49,341
A0A016WC87,PF00550,Phosphopantetheine binding ACP domain,2071,2121
A0A016WF52,mobidb-lite,disorder_prediction,21,66
A0A016WMQ5,PF11904,Ankyrin repeat domain-containing protein 13,156,458
A0A016WYY3,mobidb-lite,disorder_prediction,144,181
A0A016WZR8,mobidb-lite,disorder_prediction,490,514
A0A022PT25,PF00408,Alpha-D-phosphohexomutase C-terminal,564,615
A0A022PTA6,PF01095,Pectinesterase catalytic,237,544
A0A022PTS3,PF00400,WD40 repeat,186,222
A0A022PUH6,mobidb-lite,disorder_prediction,1,31
A0A022Q1E9,PF14226,Non-haem dioxygenase N-terminal domain,3,75
A0A022QCU5,mobidb-lite,disorder_prediction,140,160
A0A022QDW2,PF02519,Small auxin-up RNA,4,67
A0A022QFT7,PF13041,Pentatricopeptide repeat,432,479
A0A022QQ15,mobidb-lite,disorder_prediction,357,395
A0A022QRH6,mobidb-lite,disorder_prediction,170,222
A0A022QVZ8,PF05920,Homeobox KN domain,357,396
A0A022R6W5,mobidb-lite,disorder_prediction,395,432
A0A022R8D2,mobidb-lite,disorder_prediction,510,723
A0A022R8P9,PF00182,Glycoside hydrolase family 19 catalytic,71,299
A0A022RBU3,PF00270,DEAD/DEAH box helicase domain,62,224
A0A022RHH4,PF00230,Major intrinsic protein,45,263
A0A022RUE2,PF00069,Protein kinase domain,205,475
A0A022S239,PF03912,Photosystem II Psb28 class 1,73,178
A0A023EUI7,PF00375,Sodium:dicarboxylate symporter,33,479
A0A023EVQ2,PF00089,Serine proteases trypsin domain,395,646
A0A023EZK5,PF07646,Kelch repeat type 2,301,350
A0A023F3V4,PF07714,Serine-threonine/tyrosine-protein kinase catalytic domain,79,335
A0A023FI30,PF01201,Ribosomal protein S8e/ribosomal biogenesis NSA2,32,259
A0A023FPE9,PF02773,S-adenosylmethionine synthetase C-terminal,319,453
A0A023FVD0,PF00270,DEAD/DEAH box helicase domain,80,244
A0A023FVL6,PF00076,RNA recognition motif domain,92,141
A0A023FYT6,PF02221,MD-2-related lipid-recognition domain,34,174
A0A023G6L1,PF00418,Microtubule associated protein  tubulin-binding repeat,99,122
A0A023GFW4,PF00435,Spectrin repeat,393,498
A0A023GHF6,PF03311,Cornichon,6,133
A0A023GRW4,PF02210,Laminin G domain,3825,3949
A0A023I112,PF00033,Cytochrome b/b6 N-terminal,1,174
A0A023J1F3,PF00115,Cytochrome c oxidase subunit I,8,313
A0A023QKL5,PF00361,NADH:quinone oxidoreductase/Mrp antiporter membrane subunit,134,418
A0A024FLT0,PF00115,Cytochrome c oxidase subunit I,1,239
A0A024FTK8,PF00400,WD40 repeat,88,125
A0A024G5C5,PF00027,Cyclic nucleotide-binding domain,453,541
A0A024GFP4,PF02862,DDHD domain,569,610
A0A024GGN3,mobidb-lite,disorder_prediction,100,157
A0A024GP81,mobidb-lite,disorder_prediction,170,200
A0A024R4H4,CoiledCoil,Kinesin family member 1B isoform CRA_b OS=Homo sapiens GN=KIF1B PE=3 SV=1,492,520
A0A024RAU3,PF03061,Thioesterase domain,16,87
A0A024TDV8,PF00168,C2 domain,116,233
A0A024TG61,PF01900,Ribonuclease P/MRP protein subunit,32,124
A0A024TVP3,PF13359,Harbinger transposase-derived nuclease domain,74,195
A0A024TY59,mobidb-lite,disorder_prediction,256,284
A0A024TZ94,PF05653,Magnesium transporter NIPA,14,314
A0A024U3V6,mobidb-lite,disorder_prediction,43,74
A0A024UGI4,PF13516,Leucine-rich repeat,227,238
A0A024UR18,PF13516,Leucine-rich repeat,396,414
A0A024URB8,PF05903,PPPDE putative peptidase domain,13,142
A0A024USS3,mobidb-lite,disorder_prediction,1,146
A0A024UUH1,mobidb-lite,disorder_prediction,141,461
A0A024UVM9,PF00999,Cation/H+ exchanger,38,450
A0A026VVU8,PF14765,Polyketide synthase dehydratase domain,378,570
A0A026WA94,PF12763,EH domain,130,222
A0A026WFV9,PF03165,MAD homology 1 Dwarfin-type,30,133
A0A026WNB9,PF11901,Domain of unknown function DUF3421,27,136
A0A026WNG9,PF13181,Tetratricopeptide repeat,49,80
A0A026WNN5,PF11601,Shal-type voltage-gated potassium channels N-terminal,2,29
A0A026WPD9,mobidb-lite,disorder_prediction,720,760
A0A026WRX6,PF00858,Epithelial sodium channel,30,505
A0A026X1H8,PF01390,SEA domain,196,282
A0A034V4R0,mobidb-lite,disorder_prediction,1305,1331
A0A034V4T3,mobidb-lite,disorder_prediction,805,830
A0A034V6Z1,mobidb-lite,disorder_prediction,135,186
A0A034VC96,mobidb-lite,disorder_prediction,681,719
A0A034VIM2,LowComplexity,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (Fragment) OS=Bactrocera dorsalis GN=TAF5L PE=4 SV=1,454,467
A0A034VKB0,mobidb-lite,disorder_prediction,614,648
A0A034VNJ9,mobidb-lite,disorder_prediction,75,145
A0A034VUN5,mobidb-lite,disorder_prediction,101,121
A0A034VWU9,PF03455,dDENN domain,356,394
A0A034W0S3,PF00412,Zinc finger LIM-type,180,235
A0A034W5F9,PF15868,Transcription activator MBF2,26,117
A0A034W5K9,PF00412,Zinc finger LIM-type,582,638
A0A034WAU9,PF00106,Short-chain dehydrogenase/reductase SDR,7,210
A0A034WQH9,PF02770,Acyl-CoA oxidase/dehydrogenase central domain,187,289
A0A034WSI6,PF00270,DEAD/DEAH box helicase domain,58,223
A0A034WSM8,PF04420,WRB/Get1 family,2,164
A0A044QNI6,PF01391,Collagen triple helix repeat,190,248
A0A044S5D8,PF00270,DEAD/DEAH box helicase domain,180,333
A0A044TJ01,mobidb-lite,disorder_prediction,43,119
A0A044U3D7,PF03134,TB2/DP1/HVA22-related protein,97,164
A0A044U723,mobidb-lite,disorder_prediction,27,78
A0A044ULB2,PF00014,Pancreatic trypsin inhibitor Kunitz domain,2699,2757
A0A044V9R4,mobidb-lite,disorder_prediction,270,331
A0A058Z7B5,mobidb-lite,disorder_prediction,1329,1487
A0A058ZFD5,PF01798,Nop domain,158,382
A0A058ZFY3,mobidb-lite,disorder_prediction,994,1067
A0A058ZFZ6,PF00271,Helicase C-terminal,428,564
A0A058ZTS1,PF01657,Gnk2-homologous domain,151,239
A0A059A9P8,PF00293,NUDIX hydrolase domain,77,207
A0A059A9Z2,PF04564,U box domain,275,346
A0A059AJA1,PF07714,Serine-threonine/tyrosine-protein kinase catalytic domain,40,307
A0A059AJW6,LowComplexity,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_I00112 PE=3 SV=1,5,20
A0A059AW37,PF00581,Rhodanese-like domain,194,289
A0A059AXL7,PF00225,Kinesin motor domain,391,709
A0A059B3F5,mobidb-lite,disorder_prediction,1,25
A0A059B3W1,PF00083,Major facilitator  sugar transporter-like,25,502
A0A059B406,PF04099,Trafficking protein particle complex subunit,1,56
A0A059B8R8,PF00107,Alcohol dehydrogenase C-terminal,206,334
A0A059B9A7,mobidb-lite,disorder_prediction,631,656
A0A059BGM3,PF13041,Pentatricopeptide repeat,397,446
A0A059BVJ5,mobidb-lite,disorder_prediction,1,29
A0A059C3T6,PF07145,Ataxin-2 C-terminal,99,114
A0A059C7S0,PF00249,SANT/Myb domain,72,114
A0A059CA28,mobidb-lite,disorder_prediction,668,689
A0A059CFW7,LowComplexity,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_D01628 PE=4 SV=1,49,65
A0A059CM85,PF08030,Ferric reductase NAD binding domain,725,907
A0A059CR90,CoiledCoil,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_C02137 PE=4 SV=1,288,309
A0A059CVM0,PF00400,WD40 repeat,46,82
A0A059DCS9,PF01156,Inosine/uridine-preferring nucleoside hydrolase domain,127,276
A0A059LEX5,PF00400,WD40 repeat,239,271
A0A059LM88,mobidb-lite,disorder_prediction,28,47
A0A059LS38,PF00483,Nucleotidyl transferase domain,73,348
A0A059RNF8,PF00116,Cytochrome c oxidase subunit II-like C-terminal,96,213
A0A059SGF3,PF00016,Ribulose bisphosphate carboxylase large subunit C-terminal,140,179
A0A059TEQ8,PF00638,Ran binding domain,23,143
A0A059UBB6,PF00989,PAS fold,621,735
A0A060A4R4,PF05198,Translation initiation factor 3 N-terminal,12,80
A0A060CI57,PF00071,Small GTPase superfamily,1,65
A0A060D890,PF06200,Tify domain,73,105
A0A060MZU1,mobidb-lite,disorder_prediction,135,258
A0A060RMK0,PF15445,Plasmodium falciparum erythrocyte membrane protein 1 acidic terminal segment,2,185
A0A060SAT1,PF01168,Alanine racemase N-terminal,51,236
A0A060SUK3,LowComplexity,Uncharacterized protein OS=Pycnoporus cinnabarinus GN=BN946_scf184533.g4 PE=4 SV=1,181,196
A0A060SVF5,PF00435,Spectrin repeat,145,247
A0A060SW87,PF01535,Pentatricopeptide repeat,504,532
A0A060T1K0,PF07690,Major facilitator superfamily,67,442
A0A060T2R1,PF14863,Alkyl sulfatase dimerisation domain,364,500
A0A060T2Y8,mobidb-lite,disorder_prediction,1,25
A0A060T350,PF01588,tRNA-binding domain,52,145
A0A060T8F8,PF00153,Mitochondrial substrate/solute carrier,104,192
A0A060TBU6,CoiledCoil,ARAD1D37598p OS=Blastobotrys adeninivorans GN=GNLVRS02_ARAD1D37598g PE=4 SV=1,71,99
A0A060TD51,PF00400,WD40 repeat,89,122
A0A060VMI6,PF06522,NADH-ubiquinone reductase complex 1 MLRQ subunit,11,42
A0A060VMM3,PF08159,NUC153,1,21
A0A060VNR9,mobidb-lite,disorder_prediction,540,585
A0A060VQV4,mobidb-lite,disorder_prediction,732,751
A0A060VUX7,PF00069,Protein kinase domain,350,594
A0A060VZA3,PF10590,Pyridoxine 5'-phosphate oxidase dimerisation C-terminal,210,264
A0A060WCP3,PF00307,Calponin homology domain,577,677
A0A060WCT3,PF04193,PQ-loop repeat,269,326
A0A060WDG2,PF05236,Transcription initiation factor TFIID component TAF4,746,943
A0A060WEZ2,PF00788,Ras-associating (RA) domain,3,84
A0A060WHF0,PF00051,Kringle,190,267
A0A060WHN7,PF01007,Potassium channel inwardly rectifying Kir,50,375
A0A060WHT4,LowComplexity,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00071901001 PE=4 SV=1,119,137
A0A060WLT2,PF00520,Ion transport domain,42,296
A0A060WP35,PF06297,PET domain,196,280
A0A060WP50,PF02996,Prefoldin alpha-like,20,124
A0A060WTG6,mobidb-lite,disorder_prediction,108,186
A0A060WUI4,PF16198,tRNA pseudouridylate synthase B C-terminal,241,307
A0A060WWN2,PF00090,Thrombospondin type-1 (TSP1) repeat,133,179
A0A060WY66,mobidb-lite,disorder_prediction,288,318
A0A060WYQ2,PF04419,Uncharacterised protein family SERF,37,73
A0A060X1X3,PF00071,Small GTPase superfamily,1,54
A0A060X4A4,PF00595,PDZ domain,274,349
A0A060X4J1,PF00530,SRCR domain,562,659
A0A060X9B2,PF00643,B-box-type zinc finger,99,136
A0A060XGD5,PF01198,Ribosomal protein L31e,19,100
A0A060XI11,PF00868,Transglutaminase N-terminal,5,119
A0A060XI43,PF08347,CTNNB1 binding N-teminal,41,110
A0A060XT97,PF01612,3'-5' exonuclease domain,60,130
A0A060XUV9,PF02852,Pyridine nucleotide-disulphide oxidoreductase dimerisation domain,474,586
A0A060XYP2,LowComplexity,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00013600001 PE=4 SV=1,111,138
A0A060Y4E7,PF01595,Domain of unknown function DUF21,185,356
A0A060YBS8,PF00084,Sushi/SCR/CCP domain,319,370
A0A060YDZ6,mobidb-lite,disorder_prediction,352,400
A0A060YK20,PF00067,Cytochrome P450,132,362
A0A060YNC9,PF00629,MAM domain,42,226
A0A060YXD5,PF00071,Small GTPase superfamily,5,164
A0A060ZAP5,PF00788,Ras-associating (RA) domain,27,118
A0A061AGX3,PF00766,Electron transfer flavoprotein alpha subunit C-terminal,212,295
A0A061AL27,PF10294,Lysine methyltransferase,122,208
A0A061ASU1,PF09445,RNA cap guanine-N2 methyltransferase,89,253
A0A061AV91,PF00153,Mitochondrial substrate/solute carrier,197,295
A0A061AX94,PF03647,TMEM14 family,3,96
A0A061B314,PF00135,Carboxylesterase type B,22,491
A0A061B643,mobidb-lite,disorder_prediction,25,49
A0A061B911,mobidb-lite,disorder_prediction,38,63
A0A061BCS9,PF00557,Peptidase M24,160,390
A0A061BD61,mobidb-lite,disorder_prediction,658,721
A0A061BDZ2,PF00186,Dihydrofolate reductase domain,10,133
A0A061BH09,PF01184,Acetate transporter GPR1/FUN34/SatP family,26,205
A0A061BHS4,mobidb-lite,disorder_prediction,488,615
A0A061BIB9,mobidb-lite,disorder_prediction,933,967
A0A061BM38,PF12937,F-box domain,185,230
A0A061D4Q7,mobidb-lite,disorder_prediction,1,39
A0A061D6D3,mobidb-lite,disorder_prediction,1,194
A0A061DPX0,mobidb-lite,disorder_prediction,580,603
A0A061DXX3,mobidb-lite,disorder_prediction,90,149
A0A061E5I4,PF01582,Toll/interleukin-1 receptor homology (TIR) domain,19,184
A0A061EKX6,LowComplexity,LEUNIG_homolog isoform 2 (Fragment) OS=Theobroma cacao GN=TCM_020345 PE=4 SV=1,65,77
A0A061EQE5,PF00005,ABC transporter-like,189,373
A0A061EXY6,PF00582,UspA,2,164
A0A061EZ03,mobidb-lite,disorder_prediction,427,451
A0A061F4K9,PF01193,DNA-directed RNA polymerase RpoA/D/Rpb3-type,138,262
A0A061F9N3,CoiledCoil,p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Theobroma cacao GN=TCM_026435 PE=3 SV=1,440,468
A0A061FET4,PF00107,Alcohol dehydrogenase C-terminal,213,335
A0A061FHC4,CoiledCoil,F-box and Leucine Rich Repeat domains containing protein putative isoform 4 OS=Theobroma cacao GN=TCM_034979 PE=4 SV=1,564,585
A0A061FIC6,PF03140,Protein of unknown function DUF247 plant,51,399
A0A061FKZ8,PF00931,NB-ARC,1065,1353
